artist,album,track_name,track_id,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Taylor Swift,1989,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,2014,73,0.554,0.666,8,-7.414,1,0.0747,0.00593,0.106,0.472,140.056,220440,4
Khalid,American Teen,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,2017,79,0.799,0.539,1,-6.351,1,0.0421,1.66e-05,0.165,0.394,136.948,202547,4
Natasha Bedingfield,Unwritten,Unwritten,1D1nixOVWOxvNfWi0UD7VX,2004,2,0.706,0.8,5,-6.333,1,0.0399,0,0.0822,0.629,100.011,259333,4
R. Kelly,The Essential R. Kelly,Ignition - Remix,3zSCNTXI7Ed0PiidZVmzIe,2014,62,0.778,0.549,1,-6.144,1,0.0473,0,0.0724,0.802,133.041,186040,4
Tom Petty,Full Moon Fever,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,1989,76,0.623,0.449,5,-13.333,1,0.0253,0,0.0613,0.572,84.383,256000,4
Van Morrison,Blowin' Your Mind!,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,1967,79,0.491,0.583,7,-10.964,1,0.0376,0,0.406,0.908,150.566,183307,4
Jason Derulo,Future History (Deluxe Edition),It Girl,4fINc8dnfcz7AdhFYVA4i7,2011,69,0.668,0.718,1,-4.736,0,0.0605,0,0.104,0.345,91.993,192200,4
Train,"Hey, Soul Sister","Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,2009,1,0.675,0.885,1,-4.432,0,0.0436,0,0.086,0.768,97.03,216667,4
Portugal. The Man,Woodstock,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,2017,76,0.801,0.795,1,-5.115,0,0.0504,0.000113,0.0717,0.754,79.028,163253,4
"The Chainsmokers, Halsey",Closer,Closer,7BKLCZ1jbUBVqRi2FVlTVw,2016,83,0.748,0.524,8,-5.599,1,0.0338,0,0.111,0.661,95.01,244960,4
Justin Timberlake,TROLLS (Original Motion Picture Soundtrack),"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,2016,72,0.669,0.832,0,-5.721,1,0.0682,0,0.0968,0.7,113.035,237547,4
Soulja Boy,iSouljaBoyTellem,Kiss Me Thru The Phone,2q4rjDy9WhaN3o9MvDbO21,2008,77,0.758,0.712,7,-3.781,1,0.112,0,0.0677,0.795,149.998,193387,4
Mark Ronson,Uptown Special,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,2015,82,0.856,0.609,0,-7.223,1,0.0824,8.15e-05,0.0344,0.928,114.988,269667,4
Taylor Swift,1989,Blank Space,1p80LdxRV74UKvL8gnD7ky,2014,76,0.753,0.678,5,-5.421,1,0.0644,1.64e-06,0.13,0.583,96.006,231827,4
Maroon 5,Hands All Over,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",7LcfRTgAVTs5pQGEQgUEzN,2010,70,0.722,0.758,11,-4.477,0,0.0471,0,0.308,0.62,128.047,201160,4
Katy Perry,PRISM (Deluxe),Roar,6F5c58TMEs1byxUstkzVeM,2013,72,0.554,0.772,7,-4.821,0,0.0418,6.6e-06,0.354,0.455,179.984,223546,4
Village People,"Was nicht passt, wird passend gemacht (Music Inspired By the Film)",Ymca,7Cp69rNBwU0gaFT8zxExlE,2002,48,0.715,0.951,6,-6.488,1,0.132,0,0.302,0.671,126.643,284867,4
Taylor Swift,Fearless,You Belong With Me,3GCL1PydwsLodcpv0Ll1ch,2008,70,0.687,0.783,6,-4.44,1,0.0386,1.35e-05,0.114,0.443,129.964,231133,4
The Killers,Hot Fuss,All These Things That I've Done,0kYUrLVQOfx21xuXu7OGrT,2004,15,0.557,0.728,6,-6.181,1,0.0405,5.13e-06,0.118,0.216,118.241,301573,4
Taylor Swift,Red,I Knew You Were Trouble.,72jCZdH0Lhg93z6Z4hBjgj,2012,62,0.622,0.469,3,-6.798,0,0.0363,2.25e-06,0.0398,0.679,77.019,217973,4
DNCE,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,2016,81,0.774,0.753,4,-5.446,0,0.0517,0,0.0371,0.896,119.002,219147,4
Carly Rae Jepsen,Kiss (Deluxe),Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,2012,72,0.783,0.58,7,-6.548,1,0.0408,2.28e-06,0.108,0.66,120.021,193400,4
Taylor Swift,Red (Deluxe Edition),22,3bIxTsfeNMO7Nt2J3EUKrA,2012,57,0.658,0.729,7,-6.561,1,0.0378,0.0013,0.0752,0.668,104.007,230133,4
Katy Perry,Teenage Dream: The Complete Confection,California Gurls,6tS3XVuOyu10897O3ae7bi,2012,76,0.791,0.754,0,-3.729,1,0.0569,0,0.163,0.425,125.014,234653,4
Taylor Swift,1989,Welcome To New York,6qnM0XXPZOINWA778uNqQ9,2014,62,0.793,0.634,7,-4.807,1,0.0324,1.76e-06,0.304,0.615,117.024,212600,4
Taylor Swift,Taylor Swift,Our Song,15DeqWWQB4dcEWzJg15VrN,2006,70,0.668,0.672,2,-4.931,1,0.0303,0,0.329,0.539,89.011,201107,4
Taylor Swift,Fearless,Love Story,1vrd6UOGamcKNGnSHJQlSt,2008,68,0.618,0.741,2,-3.95,1,0.031,0,0.0822,0.296,118.984,235267,4
Taylor Swift,Fearless,Hey Stephen,4WXzzCof26KJLTK5kK53dS,2008,49,0.841,0.544,6,-7.347,1,0.0309,2.48e-06,0.108,0.831,115.994,254307,4
Taylor Swift,1989 (Deluxe Edition),Style,1fo2ctLqj3zBhRQKOXprol,2014,64,0.588,0.791,7,-5.595,1,0.0402,0.00258,0.118,0.487,94.933,231000,4
Taylor Swift,1989,Shake It Off,5xTtaWoae3wi06K5WfVUUH,2014,73,0.647,0.785,7,-5.414,1,0.165,0,0.148,0.943,160.015,219200,4
Taylor Swift,Speak Now,Mean,5yEPktRqvIhko5QFF3aBhQ,2010,65,0.568,0.761,4,-3.987,1,0.0459,0,0.217,0.789,163.974,237733,4
Taylor Swift,Gorgeous,Gorgeous,0CLnkxpa3M4eA3HeGaERat,2017,0,0.794,0.537,7,-6.865,1,0.169,4.98e-06,0.227,0.418,92.022,209680,4
Taylor Swift,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,7zMcNqs55Mxer82bvZFkpg,2006,65,0.621,0.417,10,-6.941,1,0.0231,0,0.119,0.289,99.953,203040,4
John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,2013,84,0.422,0.264,8,-7.064,1,0.0322,0,0.132,0.331,119.93,269560,4
Passenger,All the Little Lights,Let Her Go,6GmUVqe73u5YRfUUynZK6I,2012,0,0.479,0.545,7,-7.346,1,0.0688,0,0.0963,0.244,74.897,252733,4
Sam Smith,In The Lonely Hour,Stay With Me,5Db9VIdDsN5yu3Eu7CT0i4,2014,0,0.479,0.419,0,-6.517,1,0.0389,0.000217,0.11,0.186,85.014,172724,4
Ed Sheeran,+,The A Team,1VdZ0vKfR5jneCmWIUAMxK,2011,73,0.642,0.289,9,-9.918,1,0.0367,0,0.18,0.407,84.996,258373,4
DJ Khaled,Grateful,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1jYiIOC5d6soxkJP81fxq2,2017,63,0.599,0.667,7,-4.267,1,0.0367,0,0.134,0.817,80.984,288877,4
Justin Timberlake,The 20/20 Experience,Mirrors,2JZKXgq5zsokN01KWyiY6n,2013,0,0.574,0.512,5,-6.664,0,0.0503,0,0.0946,0.512,76.899,484147,4
Katy Perry,Teenage Dream: The Complete Confection,Firework,4lCv7b86sLynZbXhfScfm2,2012,71,0.638,0.826,8,-4.968,1,0.0479,0,0.0803,0.649,124.072,227880,4
Ed Sheeran,÷ (Deluxe),Perfect,0tgVpDi06FyKpA1z0VMD4v,2017,86,0.599,0.448,8,-6.312,1,0.0232,0,0.106,0.168,95.05,263400,3
Justin Bieber,Purpose (Deluxe),What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,2015,77,0.845,0.567,5,-8.118,0,0.0956,0.00142,0.0811,0.793,125.02,205680,4
Demi Lovato,Tell Me You Love Me,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0,2017,0,0.702,0.635,11,-6.917,0,0.265,0,0.283,0.873,144.004,203760,4
Kelly Clarkson,Stronger (Deluxe Version),Stronger (What Doesn't Kill You),6D60klaHqbCl9ySc8VcRss,2011,65,0.562,0.939,0,-4.282,1,0.0475,0,0.112,0.684,116.044,221947,4
Brett Young,Brett Young EP,In Case You Didn't Know,2dWgzqawzDkBL8QfZw92Ub,2016,0,0.596,0.544,10,-7.294,1,0.0315,0,0.106,0.393,147.976,224853,4
Jordan Davis,Singles You Up,Singles You Up,3IPkbTA8KkdDXyWtGkfFXa,2017,50,0.635,0.903,7,-3.588,1,0.0323,0,0.255,0.559,100.08,182693,4
Thomas Rhett,Craving You,Craving You,6zLdXcmvIxnAXpz9sXFnIE,2017,0,0.612,0.841,9,-3.795,0,0.0353,0,0.37,0.499,104.986,227373,4
Devin Dawson,All On Me,All On Me,2Nc8Imt04W3ZmcBF8dPQKc,2017,0,0.631,0.658,5,-5.313,1,0.0281,0,0.22,0.7,80.996,227573,4
Luke Bryan,Light It Up,Light It Up,6znSbsDDFdBZaiucjUGaWy,2017,0,0.596,0.935,6,-2.794,0,0.0855,0,0.108,0.678,130.029,177292,4
Thomas Rhett,Life Changes,Unforgettable,30MM5jWpUmOxtTNd9Ey5LZ,2017,67,0.661,0.75,7,-5.497,1,0.0314,0.000132,0.0849,0.828,130.077,157080,4
Blake Shelton,I'll Name the Dogs,I'll Name the Dogs,2n5ZD87XQ2yvIxGjoYbUmZ,2017,46,0.47,0.852,4,-5.874,1,0.0933,2.04e-06,0.281,0.773,168.063,183200,4
LANCO,LANCO - EP,Greatest Love Story,0kdiUZDcLIFw0Buo9r0Q4z,2016,0,0.665,0.621,10,-8.571,1,0.0524,0,0.119,0.632,147.975,222400,4
Walker Hayes,You Broke Up with Me,You Broke Up with Me,6UsoV6X96Rox9mfxoz7SFy,2017,52,0.846,0.711,0,-7.939,1,0.061,0,0.247,0.883,120.013,197840,4
Morgan Evans,Kiss Somebody,Kiss Somebody,1mJMD1VIQ7jWTP9DK2zmY0,2017,50,0.492,0.681,6,-7.038,1,0.075,0,0.199,0.511,178.01,212445,4
Brett Young,Brett Young,Like I Loved You,3T6MAweakkNrMYs8jZIWtg,2017,62,0.582,0.568,1,-6.051,1,0.0297,0,0.0841,0.64,76.025,207187,4
Brett Eldredge,The Long Way,The Long Way,1KTLLe980WR4RLKg74Ud6e,2017,31,0.488,0.637,10,-7.63,1,0.0401,0,0.106,0.23,88.872,208653,4
Bebe Rexha,All Your Fault: Pt. 2,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,2017,74,0.643,0.783,10,-6.458,1,0.0856,0,0.083,0.579,154.084,163870,4
Jackie Lee,Getting Over You,Getting Over You,4oeGQb7zAVNRkpjjoNHK5K,2016,0,0.442,0.784,2,-4.001,1,0.0344,0,0.0597,0.552,170.139,173187,4
Thomas Rhett,Life Changes,Marry Me,0OWZFobGSIW9GrSlQ9C5pc,2017,69,0.333,0.412,3,-8.633,1,0.029,0,0.113,0.474,85.028,205453,4
Kane Brown,Kane Brown,What Ifs (feat. Lauren Alaina),7zVCrzzEJU7u24sbJPXA5W,2016,71,0.612,0.799,10,-4.603,1,0.0275,0,0.172,0.687,125.976,188253,4
Billy Currington,Summer Forever,Do I Make You Wanna,3I7krC8kr0gFR7P6vInR1I,2015,65,0.553,0.747,9,-5.432,1,0.0279,0,0.154,0.521,90.012,234307,4
Granger Smith,Happens Like That,Happens Like That,5Zx1zVpDJsNgyY3HvNfsfC,2017,0,0.557,0.807,7,-5.428,1,0.0825,0,0.234,0.578,81.045,171493,4
Brett Kissel,We Were That Song,We Were That Song,6OUdBkpAQtKyZ74cKukZ9W,2017,0,0.618,0.911,9,-3.323,1,0.05,0,0.132,0.501,102.956,200280,4
Jay Sean,All Or Nothing,Down,7LP4Es66zdY7CyjepqmvAg,2009,2,0.657,0.695,2,-4.493,1,0.0321,0,0.0822,0.683,65.997,212107,4
Outkast,Speakerboxxx/The Love Below,Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,2003,80,0.727,0.974,4,-2.261,0,0.0664,0.000532,0.174,0.965,79.526,235213,4
"Zara Larsson, MNEK",Never Forget You,Never Forget You,6WLS56xiRrXjSm9RSdL3zD,2015,0,0.583,0.732,11,-5.728,0,0.0457,9.86e-06,0.269,0.276,145.992,213428,4
Mike Posner,"At Night, Alone.",I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,2016,72,0.664,0.714,7,-6.645,0,0.111,8.42e-06,0.0843,0.71,101.969,197933,4
Miley Cyrus,Bangerz (Deluxe Version),Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,2013,77,0.53,0.422,5,-6.262,1,0.0342,0,0.107,0.349,119.964,221360,4
Becky G,Shower,Shower,3DmW6y7wTEYHJZlLo1r6XJ,2014,76,0.699,0.529,2,-7.548,1,0.0487,3.59e-05,0.285,0.121,119.987,206167,4
"Kygo, Selena Gomez",It Ain't Me,It Ain’t Me (with Selena Gomez),12GEpg2XOPyqk03JZEZnJs,2017,66,0.64,0.533,0,-6.596,1,0.0706,0,0.0864,0.515,99.968,220781,4
Jason Derulo,Talk Dirty,Trumpets,5KONnBIQ9LqCxyeSPin26k,2013,64,0.635,0.691,0,-4.862,1,0.258,0,0.097,0.638,82.142,217419,4
Diddy - Dirty Money,Last Train To Paris,Coming Home,6Iocm6VMu6bVNYwiDoyQFW,2010,69,0.392,0.839,7,-1.921,1,0.193,0,0.3,0.232,168.001,238693,4
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,2016,74,0.72,0.763,9,-4.068,0,0.0523,0,0.18,0.742,101.965,251088,4
Justin Bieber,My World 2.0,Baby,6epn3r7S14KUqlReYr77hA,2010,81,0.728,0.859,5,-5.237,0,0.137,0,0.111,0.535,65.043,214240,4
Rihanna,Good Girl Gone Bad: Reloaded,Umbrella,49FYlytm3dAAraYgpoJZux,2008,82,0.583,0.829,1,-4.603,1,0.134,0,0.0426,0.575,174.028,275987,4
Iyaz,Replay,Replay,5vlEg2fT4cFWAqU5QptIpQ,2009,72,0.706,0.751,9,-6.323,1,0.0708,0,0.168,0.195,91.031,182307,4
Taio Cruz,Rokstarr,Dynamite,1DqdF42leyFIzqNDv9CjId,2010,65,0.754,0.804,4,-3.177,1,0.0853,0,0.0329,0.818,119.968,203867,4
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,2009,8,0.743,0.766,0,-6.375,1,0.0265,0,0.509,0.61,127.96,289133,4
fun.,Some Nights,Some Nights,67WTwafOMgegV6ABnBQxcE,2012,70,0.672,0.738,0,-7.045,1,0.0506,6.75e-05,0.0927,0.392,107.938,277040,4
Rupert Holmes,Partners In Crime,Escape (The Pina Colada Song),5IMtdHjJ1OtkxbGe4zfUxQ,1979,74,0.836,0.509,0,-13.668,1,0.0548,4.1e-06,0.0436,0.949,138.714,276493,4
"Marvin Gaye, Tammi Terrell",United,Ain't No Mountain High Enough,1LeWIs2hP2r5yOQnVuYoI5,1967,0,0.663,0.6,7,-10.87,1,0.032,0,0.184,0.8,129.991,151667,4
Colbie Caillat,All Of You,Brighter Than The Sun,5YTtTbqxUzJHD3CpbNHerP,2011,63,0.629,0.793,9,-5.942,1,0.0346,1.15e-06,0.218,0.588,95.981,231213,4
Neil Diamond,In My Lifetime,Sweet Caroline - Single Version,6l7tK5SsMlN8a9ccgeIkpS,1996,0,0.556,0.161,11,-13.944,1,0.0297,4.36e-05,0.28,0.588,126.534,201800,4
The B-52's,Cosmic Thing,Love Shack,4W4wYHtsrgDiivRASVOINL,1989,70,0.701,0.803,5,-6.786,0,0.0545,1.54e-06,0.7,0.903,133.608,320680,4
Katrina & The Waves,Katrina & The Waves,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,1985,78,0.596,0.869,10,-11.97,1,0.037,0.173,0.0678,0.944,109.902,238733,4
Vance Joy,Dream Your Life Away,Riptide,7yq4Qj7cqayVTp3FF9CWbm,2014,81,0.484,0.731,1,-6.694,1,0.0379,0,0.151,0.51,101.654,204280,4
The Lumineers,The Lumineers,Ho Hey,2nXM8IVqKtyO6JKsLlXWAy,2012,34,0.684,0.47,0,-9.088,1,0.0325,0,0.0711,0.381,79.934,163133,4
Journey,80s 100 Hits,Don't Stop Believin',3HRQtRUYnnuZY7fE900XtJ,2010,61,0.495,0.781,4,-8.109,1,0.0413,0,0.395,0.473,119.206,248200,4
Smash Mouth,All Star Smash Hits,All Star,22c2pt75xtnDddA5Zlm0yy,2005,7,0.73,0.862,11,-5.876,1,0.0313,0,0.0818,0.77,104.018,200560,4
Beyoncé,I AM...SASHA FIERCE,Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,2008,67,0.426,0.584,1,-5.293,1,0.296,0,0.188,0.272,193.437,193213,4
Jason Derulo,Jason Derulo (Deluxe Audio),Ridin' Solo,7ksYJ95P5vP87A0GH34CIk,2010,55,0.442,0.83,9,-4.02,1,0.146,0,0.129,0.578,89.338,215747,4
One Direction,Up All Night,What Makes You Beautiful,03oZejWqXLbKhhM4iTgShq,2012,0,0.726,0.778,4,-2.483,1,0.0784,0,0.082,0.868,125.0,198840,4
Carly Rae Jepsen,Kiss,Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,2012,79,0.783,0.58,7,-6.548,1,0.0408,2.28e-06,0.108,0.66,120.021,193400,4
Lynyrd Skynyrd,Lynyrd Skynyrd Greatest Hits,Sweet Home Alabama,6RgGppm2SSX5p246UqfdEi,2008,0,0.609,0.661,7,-9.549,1,0.0252,0.000482,0.254,0.892,97.93,284413,4
Bon Jovi,Bon Jovi Greatest Hits,Livin' On A Prayer,3X7abqSXC4xrxuC1ykpWcY,2010,0,0.522,0.882,0,-3.216,1,0.0359,0.00021,0.33,0.815,122.541,250627,4
Creedence Clearwater Revival,Pendulum (Expanded Edition),Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,1970,83,0.741,0.697,0,-7.028,1,0.0277,2.28e-05,0.133,0.774,116.109,160133,4
"Earth, Wind & Fire","The Essential Earth, Wind & Fire",September,5e3l460eVGMNqQgFc9Rv7q,1973,0,0.692,0.803,9,-8.627,1,0.0301,0.000808,0.181,0.981,125.919,215067,4
Vanilla Ice,Platinum Underground,Ice Ice Baby,66AiuTr5v9tw6B8gXau2aU,2005,33,0.949,0.876,0,-6.472,1,0.0567,0,0.124,0.483,117.579,250413,4
A Great Big World,Is There Anybody Out There?,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,2014,73,0.407,0.147,2,-8.822,1,0.0355,2.89e-06,0.0913,0.0765,141.284,229400,3
Rascal Flatts,Me And My Gang,Life is a Highway,2Fs18NaCDuluPG1DHGw1XG,2006,74,0.582,0.952,5,-3.848,1,0.0731,0,0.223,0.655,103.027,276320,4
Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,2010,81,0.635,0.841,5,-5.379,1,0.0422,0,0.0622,0.424,109.021,220734,4
John Mellencamp,American Fool,Jack & Diane,43btz2xjMKpcmjkuRsvxyg,1982,73,0.811,0.41,9,-8.214,1,0.0391,6.63e-06,0.0799,0.626,103.965,254493,4
Tom Petty,Full Moon Fever,Free Fallin',7woZGXjtaYwuvSoU1zToB3,1989,0,0.617,0.435,5,-13.547,1,0.0256,0,0.0822,0.601,84.382,256667,4
Phillip Phillips,The World From The Side Of The Moon (Deluxe),Home,4rsW3WCZBGwhHfJWuHRwyT,2013,63,0.606,0.826,0,-6.04,1,0.0307,1.56e-05,0.117,0.322,121.04,210173,4
Zac Brown Band,The Foundation,Chicken Fried,4dGJf1SER1T6ooX46vwzRB,2008,1,0.566,0.713,6,-4.25,1,0.0417,0,0.114,0.807,169.864,238147,4
Taylor Swift,Fearless Platinum Edition,Love Story,0kN3oXYWWAk1uC0y2WoyOE,2008,51,0.618,0.736,2,-3.937,1,0.0308,0,0.073,0.307,118.982,235280,4
Darius Rucker,True Believers,Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,2013,77,0.537,0.66,9,-7.174,1,0.0296,0,0.135,0.574,148.096,298373,4
a-ha,Hunting High and Low,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,1985,84,0.573,0.902,6,-7.638,0,0.054,0.00125,0.0928,0.876,84.412,225280,4
Pitbull,Global Warming: Meltdown (Deluxe Version),Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,2012,80,0.581,0.963,11,-4.087,1,0.0981,0,0.139,0.788,129.992,204160,4
Alabama,Ultimate Alabama 20 # 1 Hits,Song of the South,4uUwD0uYzIDjKMKQglzmD2,2004,44,0.486,0.647,9,-8.066,1,0.0337,0,0.305,0.628,162.218,190747,4
Alabama,For The Record,Dixieland Delight - Single Edit,4swEkkLocrQ569W1lYIbdX,1998,0,0.464,0.405,7,-12.538,1,0.033,1.1e-05,0.0749,0.514,95.852,235915,4
Train,American Heartland,"Hey, Soul Sister",7lJSxSUUlrZ7CxiyO3X0vq,2013,0,0.666,0.868,1,-6.188,0,0.0407,0,0.0828,0.806,97.039,217547,4
Usher,Raymond v Raymond (Expanded Edition),DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,2010,78,0.663,0.861,7,-3.398,0,0.109,0,0.082,0.654,119.963,220800,4
Alicia Keys,Girl on Fire (Remixes) - EP,Girl on Fire,4esOae7i4rqTbAu9o5Pxco,2012,76,0.482,0.706,9,-5.762,1,0.0607,0.00106,0.105,0.144,92.513,224920,4
Bruno Mars,Doo-Wops & Hooligans,Count on Me,7l1qvxWjxcKpB9PCtBuTbU,2010,74,0.589,0.389,0,-5.972,1,0.028,0,0.0772,0.501,89.1,197470,4
Bruno Mars,Doo-Wops & Hooligans,Marry You,22PMfvdz35fFKYnJyMn077,2010,74,0.621,0.82,10,-4.865,1,0.0367,0,0.104,0.452,144.905,230192,4
Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,2012,86,0.726,0.698,5,-4.165,1,0.0431,0,0.309,0.867,143.994,233478,4
Bruno Mars,24K Magic,Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,2016,75,0.578,0.574,2,-6.209,1,0.0454,0,0.083,0.301,174.152,261240,4
Bruno Mars,Doo-Wops & Hooligans,Grenade,2tJulUYLDKOg9XrtVkMgcJ,2010,77,0.704,0.558,2,-7.273,0,0.0542,0,0.107,0.245,110.444,222091,4
Bruno Mars,Doo-Wops & Hooligans,The Lazy Song,1ExfPZEiahqhLyajhybFeS,2010,72,0.794,0.711,8,-5.124,0,0.0699,0,0.0955,0.955,174.915,189109,4
Vance Joy,Dream Your Life Away (Special Edition),Riptide,3JvrhDOgAt6p7K8mDyZwRd,2014,79,0.484,0.731,1,-6.694,1,0.0379,0,0.151,0.51,101.654,204280,4
James Arthur,Back from the Edge,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,2016,84,0.358,0.557,10,-7.398,1,0.059,0,0.0902,0.494,85.043,211467,4
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,2008,79,0.703,0.444,11,-9.331,1,0.0417,0,0.0973,0.712,150.96,242947,4
